"Date","Round","Home.Team","Home.Goals","Home.Behinds","Home.Points","Away.Team","Away.Goals","Away.Behinds","Away.Points","Venue","Margin","Season","Round.Type"
"2012-03-24","R1","GWS",5,7,37,"Sydney",14,16,100,"Stadium Australia",-63,2012,"Regular"
"2012-03-29","R1","Richmond",12,9,81,"Carlton",18,17,125,"M.C.G.",-44,2012,"Regular"
"2012-03-30","R1","Hawthorn",20,17,137,"Collingwood",16,19,115,"M.C.G.",22,2012,"Regular"
"2012-03-31","R1","Melbourne",11,12,78,"Brisbane Lions",17,17,119,"M.C.G.",-41,2012,"Regular"
"2012-03-31","R1","Gold Coast",10,8,68,"Adelaide",19,23,137,"Carrara",-69,2012,"Regular"
"2012-03-31","R1","North Melbourne",15,12,102,"Essendon",14,20,104,"Docklands",-2,2012,"Regular"
"2012-03-31","R1","Fremantle",16,9,105,"Geelong",15,11,101,"Subiaco",4,2012,"Regular"
"2012-04-01","R1","Footscray",12,15,87,"West Coast",21,10,136,"Docklands",-49,2012,"Regular"
"2012-04-01","R1","Port Adelaide",13,11,89,"St Kilda",13,7,85,"Football Park",4,2012,"Regular"
"2012-04-05","R2","Brisbane Lions",9,9,63,"Carlton",23,16,154,"Gabba",-91,2012,"Regular"
"2012-04-07","R2","Essendon",16,15,111,"Port Adelaide",13,8,86,"Docklands",25,2012,"Regular"
"2012-04-07","R2","Sydney",14,10,94,"Fremantle",12,9,81,"S.C.G.",13,2012,"Regular"
"2012-04-07","R2","West Coast",25,16,166,"Melbourne",9,4,58,"Subiaco",108,2012,"Regular"
"2012-04-07","R2","Adelaide",11,16,82,"Footscray",9,10,64,"Football Park",18,2012,"Regular"
"2012-04-07","R2","Collingwood",12,13,85,"Richmond",8,16,64,"M.C.G.",21,2012,"Regular"
"2012-04-08","R2","North Melbourne",28,15,183,"GWS",8,6,54,"Bellerive Oval",129,2012,"Regular"
"2012-04-08","R2","St Kilda",21,13,139,"Gold Coast",7,5,47,"Docklands",92,2012,"Regular"
"2012-04-09","R2","Geelong",14,8,92,"Hawthorn",13,12,90,"M.C.G.",2,2012,"Regular"
"2012-04-13","R3","Carlton",18,14,122,"Collingwood",9,8,62,"M.C.G.",60,2012,"Regular"
"2012-04-14","R3","Richmond",20,13,133,"Melbourne",11,8,74,"M.C.G.",59,2012,"Regular"
"2012-04-14","R3","Port Adelaide",12,11,83,"Sydney",16,9,105,"Football Park",-22,2012,"Regular"
"2012-04-14","R3","Fremantle",8,16,64,"Brisbane Lions",5,5,35,"Subiaco",29,2012,"Regular"
"2012-04-14","R3","Gold Coast",13,10,88,"Essendon",15,15,105,"Carrara",-17,2012,"Regular"
"2012-04-14","R3","Footscray",5,10,40,"St Kilda",15,13,103,"Docklands",-63,2012,"Regular"
"2012-04-15","R3","GWS",10,9,69,"West Coast",23,12,150,"Blacktown",-81,2012,"Regular"
"2012-04-15","R3","Hawthorn",21,14,140,"Adelaide",12,12,84,"M.C.G.",56,2012,"Regular"
"2012-04-15","R3","North Melbourne",20,11,131,"Geelong",16,18,114,"Docklands",17,2012,"Regular"
"2012-04-20","R4","St Kilda",11,13,79,"Fremantle",14,8,92,"Docklands",-13,2012,"Regular"
"2012-04-21","R4","Carlton",11,13,79,"Essendon",15,19,109,"M.C.G.",-30,2012,"Regular"
"2012-04-21","R4","Collingwood",14,13,97,"Port Adelaide",10,13,73,"Docklands",24,2012,"Regular"
"2012-04-21","R4","Adelaide",13,18,96,"GWS",7,8,50,"Football Park",46,2012,"Regular"
"2012-04-21","R4","West Coast",5,21,51,"Hawthorn",5,16,46,"Subiaco",5,2012,"Regular"
"2012-04-21","R4","Brisbane Lions",17,9,111,"Gold Coast",6,10,46,"Gabba",65,2012,"Regular"
"2012-04-22","R4","Geelong",11,9,75,"Richmond",9,11,65,"Kardinia Park",10,2012,"Regular"
"2012-04-22","R4","Sydney",17,11,113,"North Melbourne",10,17,77,"S.C.G.",36,2012,"Regular"
"2012-04-22","R4","Melbourne",9,13,67,"Footscray",13,10,88,"M.C.G.",-21,2012,"Regular"
"2012-04-25","R5","Collingwood",11,14,80,"Essendon",11,13,79,"M.C.G.",1,2012,"Regular"
"2012-04-27","R5","Fremantle",7,15,57,"Carlton",10,5,65,"Subiaco",-8,2012,"Regular"
"2012-04-28","R5","GWS",9,8,62,"Footscray",15,14,104,"Manuka Oval",-42,2012,"Regular"
"2012-04-28","R5","North Melbourne",17,25,127,"Gold Coast",13,15,93,"Docklands",34,2012,"Regular"
"2012-04-28","R5","Melbourne",10,6,66,"St Kilda",12,12,84,"M.C.G.",-18,2012,"Regular"
"2012-04-28","R5","Brisbane Lions",4,17,41,"Geelong",12,7,79,"Gabba",-38,2012,"Regular"
"2012-04-29","R5","Hawthorn",10,9,69,"Sydney",16,10,106,"York Park",-37,2012,"Regular"
"2012-04-29","R5","Richmond",14,13,97,"West Coast",16,11,107,"Docklands",-10,2012,"Regular"
"2012-04-29","R5","Adelaide",16,14,110,"Port Adelaide",14,7,91,"Football Park",19,2012,"Regular"
"2012-05-04","R6","Footscray",11,11,77,"Collingwood",15,8,98,"Docklands",-21,2012,"Regular"
"2012-05-05","R6","Essendon",19,15,129,"Brisbane Lions",9,8,62,"Docklands",67,2012,"Regular"
"2012-05-05","R6","Geelong",17,17,119,"Melbourne",11,10,76,"Kardinia Park",43,2012,"Regular"
"2012-05-05","R6","Gold Coast",14,3,87,"Fremantle",14,10,94,"Carrara",-7,2012,"Regular"
"2012-05-05","R6","Sydney",14,10,94,"Adelaide",15,9,99,"S.C.G.",-5,2012,"Regular"
"2012-05-05","R6","St Kilda",13,10,88,"Hawthorn",18,15,123,"M.C.G.",-35,2012,"Regular"
"2012-05-06","R6","Carlton",15,20,110,"GWS",6,7,43,"Docklands",67,2012,"Regular"
"2012-05-06","R6","Port Adelaide",8,6,54,"Richmond",13,13,91,"Football Park",-37,2012,"Regular"
"2012-05-06","R6","West Coast",17,18,120,"North Melbourne",15,5,95,"Subiaco",25,2012,"Regular"
"2012-05-11","R7","Melbourne",6,13,49,"Hawthorn",15,25,115,"M.C.G.",-66,2012,"Regular"
"2012-05-12","R7","Adelaide",19,8,122,"Geelong",10,12,72,"Football Park",50,2012,"Regular"
"2012-05-12","R7","GWS",13,16,94,"Gold Coast",9,13,67,"Manuka Oval",27,2012,"Regular"
"2012-05-12","R7","Richmond",13,13,91,"Sydney",8,14,62,"M.C.G.",29,2012,"Regular"
"2012-05-12","R7","Brisbane Lions",8,10,58,"Collingwood",17,14,116,"Gabba",-58,2012,"Regular"
"2012-05-12","R7","Essendon",16,17,113,"West Coast",7,10,52,"Docklands",61,2012,"Regular"
"2012-05-13","R7","North Melbourne",12,11,83,"Footscray",15,11,101,"Docklands",-18,2012,"Regular"
"2012-05-13","R7","Fremantle",12,15,87,"Port Adelaide",7,5,47,"Subiaco",40,2012,"Regular"
"2012-05-14","R7","St Kilda",19,8,122,"Carlton",14,14,98,"Docklands",24,2012,"Regular"
"2012-05-18","R8","Collingwood",14,12,96,"Geelong",11,18,84,"M.C.G.",12,2012,"Regular"
"2012-05-19","R8","Port Adelaide",14,11,95,"North Melbourne",14,9,93,"Football Park",2,2012,"Regular"
"2012-05-19","R8","Hawthorn",17,17,119,"Fremantle",9,9,63,"York Park",56,2012,"Regular"
"2012-05-19","R8","Sydney",21,12,138,"Melbourne",5,7,37,"S.C.G.",101,2012,"Regular"
"2012-05-19","R8","Footscray",9,18,72,"Gold Coast",4,10,34,"Marrara Oval",38,2012,"Regular"
"2012-05-19","R8","Essendon",19,14,128,"Richmond",15,19,109,"M.C.G.",19,2012,"Regular"
"2012-05-20","R8","Brisbane Lions",19,18,132,"GWS",5,10,40,"Gabba",92,2012,"Regular"
"2012-05-20","R8","Carlton",8,7,55,"Adelaide",19,10,124,"Docklands",-69,2012,"Regular"
"2012-05-20","R8","West Coast",18,13,121,"St Kilda",13,13,91,"Subiaco",30,2012,"Regular"
"2012-05-25","R9","Footscray",11,9,75,"Geelong",14,11,95,"Docklands",-20,2012,"Regular"
"2012-05-26","R9","Richmond",21,11,137,"Hawthorn",10,15,75,"M.C.G.",62,2012,"Regular"
"2012-05-26","R9","Gold Coast",10,10,70,"Port Adelaide",17,16,118,"Carrara",-48,2012,"Regular"
"2012-05-26","R9","St Kilda",16,15,111,"Sydney",12,11,83,"Docklands",28,2012,"Regular"
"2012-05-26","R9","Adelaide",6,13,49,"Collingwood",10,15,75,"Football Park",-26,2012,"Regular"
"2012-05-26","R9","GWS",7,11,53,"Essendon",18,11,119,"Sydney Showground",-66,2012,"Regular"
"2012-05-27","R9","North Melbourne",17,10,112,"Brisbane Lions",15,6,96,"Docklands",16,2012,"Regular"
"2012-05-27","R9","Carlton",15,17,107,"Melbourne",6,13,49,"M.C.G.",58,2012,"Regular"
"2012-05-27","R9","West Coast",11,18,84,"Fremantle",5,6,36,"Subiaco",48,2012,"Regular"
"2012-06-01","R10","St Kilda",16,17,113,"Richmond",18,13,121,"Docklands",-8,2012,"Regular"
