"date","match_details","season","team_name","odds"
2012-03-24,"AFL 2012/Round 1 - 24 March/Greater Western Sydney v Sydney","AFL 2012","Greater Western Sydney Giants",26.0079
2012-03-24,"AFL 2012/Round 1 - 24 March/Greater Western Sydney v Sydney","AFL 2012","Sydney Swans",1.041
2012-03-29,"AFL 2012/Round 1 - 29 March/Richmond v Carlton","AFL 2012","Carlton Blues",1.625
2012-03-29,"AFL 2012/Round 1 - 29 March/Richmond v Carlton","AFL 2012","Richmond Tigers",2.5725
2012-03-30,"AFL 2012/Round 1 - 30 March/Hawthorn v Collingwood","AFL 2012","Collingwood Magpies",2.4033
2012-03-30,"AFL 2012/Round 1 - 30 March/Hawthorn v Collingwood","AFL 2012","Hawthorn Hawks",1.7072
2012-03-31,"AFL 2012/Round 1 - 31 March/Fremantle v Geelong","AFL 2012","Fremantle Dockers",2.2707
2012-03-31,"AFL 2012/Round 1 - 31 March/Fremantle v Geelong","AFL 2012","Geelong Cats",1.7742
2012-03-31,"AFL 2012/Round 1 - 31 March/Gold Coast v Adelaide","AFL 2012","Adelaide Crows",1.1991
2012-03-31,"AFL 2012/Round 1 - 31 March/Gold Coast v Adelaide","AFL 2012","Gold Coast Suns",5.9796
2012-03-31,"AFL 2012/Round 1 - 31 March/Melbourne v Brisbane","AFL 2012","Brisbane Lions",3.4343
2012-03-31,"AFL 2012/Round 1 - 31 March/Melbourne v Brisbane","AFL 2012","Melbourne Demons",1.4042
2012-03-31,"AFL 2012/Round 1 - 31 March/North Melbourne v Essendon","AFL 2012","Essendon Bombers",1.8503
2012-03-31,"AFL 2012/Round 1 - 31 March/North Melbourne v Essendon","AFL 2012","North Melbourne Kangaroos",2.1522
2012-04-01,"AFL 2012/Round 1 - 01 April/Port Adelaide v St Kilda","AFL 2012","Port Adelaide Power",3.2247
2012-04-01,"AFL 2012/Round 1 - 01 April/Port Adelaide v St Kilda","AFL 2012","St Kilda Saints",1.4425
2012-04-01,"AFL 2012/Round 1 - 01 April/Western Bulldogs v West Coast","AFL 2012","West Coast Eagles",1.6059
2012-04-01,"AFL 2012/Round 1 - 01 April/Western Bulldogs v West Coast","AFL 2012","Western Bulldogs",2.6409
2012-04-05,"AFL 2012/Round 2 - 05 April/Brisbane v Carlton","AFL 2012","Brisbane Lions",4.1549
2012-04-05,"AFL 2012/Round 2 - 05 April/Brisbane v Carlton","AFL 2012","Carlton Blues",1.3115
2012-04-07,"AFL 2012/Round 2 - 07 April/Adelaide v Western Bulldogs","AFL 2012","Adelaide Crows",1.2418
2012-04-07,"AFL 2012/Round 2 - 07 April/Adelaide v Western Bulldogs","AFL 2012","Western Bulldogs",4.9753
2012-04-07,"AFL 2012/Round 2 - 07 April/Collingwood v Richmond","AFL 2012","Collingwood Magpies",1.1636
2012-04-07,"AFL 2012/Round 2 - 07 April/Collingwood v Richmond","AFL 2012","Richmond Tigers",6.9987
2012-04-07,"AFL 2012/Round 2 - 07 April/Essendon v Port Adelaide","AFL 2012","Essendon Bombers",1.2532
