,Date,Round,Home.Team,Home.Goals,Home.Behinds,P_Home,Away.Team,Away.Goals,Away.Behinds,P_Away,Venue,Margin,Season,Round.Type,home_win,Year,Team_Home,CP_Home,D_Home,CL_Home,I50_Home,MI5_Home,Team_Away,CP_Away,D_Away,CL_Away,I50_Away,MI5_Away,P_diff_5,CP_diff_5,D_diff_5,CL_diff_5,I50_diff_5,MI5_diff_5
0,2012-03-24,R1,GWS,5,7,37,Sydney,14,16,100,Stadium Australia,-63,2012,Regular,0.0,2012,GWS,124.0,367.0,35.0,28.0,9.0,Sydney,155.0,388.0,40.0,71.0,9.0,,,,,,
1,2012-03-29,R1,Richmond,12,9,81,Carlton,18,17,125,M.C.G.,-44,2012,Regular,0.0,2012,Richmond,136.0,320.0,32.0,45.0,10.0,Carlton,151.0,375.0,39.0,63.0,18.0,,,,,,
2,2012-03-30,R1,Hawthorn,20,17,137,Collingwood,16,19,115,M.C.G.,22,2012,Regular,1.0,2012,Hawthorn,143.0,369.0,37.0,57.0,13.0,Collingwood,152.0,320.0,40.0,58.0,14.0,,,,,,
3,2012-03-31,R1,Melbourne,11,12,78,Brisbane Lions,17,17,119,M.C.G.,-41,2012,Regular,0.0,2012,Melbourne,152.0,298.0,34.0,48.0,5.0,Brisbane Lions,150.0,385.0,46.0,56.0,15.0,,,,,,
4,2012-03-31,R1,Gold Coast,10,8,68,Adelaide,19,23,137,Carrara,-69,2012,Regular,0.0,2012,Gold Coast,135.0,362.0,34.0,43.0,9.0,Adelaide,152.0,406.0,39.0,73.0,16.0,,,,,,
5,2012-03-31,R1,North Melbourne,15,12,102,Essendon,14,20,104,Docklands,-2,2012,Regular,0.0,2012,North Melbourne,130.0,338.0,26.0,54.0,14.0,Essendon,152.0,350.0,40.0,67.0,19.0,,,,,,
6,2012-03-31,R1,Fremantle,16,9,105,Geelong,15,11,101,Subiaco,4,2012,Regular,1.0,2012,Fremantle,167.0,364.0,39.0,41.0,7.0,Geelong,149.0,327.0,38.0,54.0,14.0,,,,,,
7,2012-04-01,R1,Footscray,12,15,87,West Coast,21,10,136,Docklands,-49,2012,Regular,0.0,2012,Footscray,154.0,384.0,45.0,54.0,10.0,West Coast,145.0,352.0,36.0,61.0,12.0,,,,,,
8,2012-04-01,R1,Port Adelaide,13,11,89,St Kilda,13,7,85,Football Park,4,2012,Regular,1.0,2012,Port Adelaide,152.0,332.0,44.0,50.0,9.0,St Kilda,127.0,338.0,29.0,42.0,9.0,,,,,,
9,2012-04-05,R2,Brisbane Lions,9,9,63,Carlton,23,16,154,Gabba,-91,2012,Regular,0.0,2012,Brisbane Lions,137.0,308.0,37.0,41.0,6.0,Carlton,165.0,392.0,47.0,67.0,19.0,,,,,,
10,2012-04-07,R2,Essendon,16,15,111,Port Adelaide,13,8,86,Docklands,25,2012,Regular,1.0,2012,Essendon,138.0,332.0,33.0,63.0,14.0,Port Adelaide,134.0,330.0,41.0,45.0,5.0,,,,,,
11,2012-04-07,R2,Sydney,14,10,94,Fremantle,12,9,81,S.C.G.,13,2012,Regular,1.0,2012,Sydney,171.0,349.0,39.0,53.0,6.0,Fremantle,161.0,361.0,49.0,63.0,10.0,,,,,,
12,2012-04-07,R2,West Coast,25,16,166,Melbourne,9,4,58,Subiaco,108,2012,Regular,1.0,2012,West Coast,159.0,447.0,42.0,77.0,12.0,Melbourne,128.0,313.0,37.0,32.0,3.0,,,,,,
13,2012-04-07,R2,Adelaide,11,16,82,Footscray,9,10,64,Football Park,18,2012,Regular,1.0,2012,Adelaide,141.0,360.0,33.0,49.0,13.0,Footscray,133.0,409.0,32.0,50.0,11.0,,,,,,
14,2012-04-07,R2,Collingwood,12,13,85,Richmond,8,16,64,M.C.G.,21,2012,Regular,1.0,2012,Collingwood,142.0,349.0,40.0,53.0,11.0,Richmond,124.0,427.0,27.0,50.0,7.0,,,,,,
15,2012-04-08,R2,North Melbourne,28,15,183,GWS,8,6,54,Bellerive Oval,129,2012,Regular,1.0,2012,North Melbourne,147.0,505.0,48.0,83.0,21.0,GWS,138.0,350.0,35.0,41.0,5.0,,,,,,
16,2012-04-08,R2,St Kilda,21,13,139,Gold Coast,7,5,47,Docklands,92,2012,Regular,1.0,2012,St Kilda,152.0,405.0,45.0,57.0,17.0,Gold Coast,127.0,330.0,31.0,36.0,5.0,,,,,,
17,2012-04-09,R2,Geelong,14,8,92,Hawthorn,13,12,90,M.C.G.,2,2012,Regular,1.0,2012,Geelong,150.0,323.0,38.0,53.0,17.0,Hawthorn,160.0,341.0,39.0,55.0,8.0,,,,,,
18,2012-04-13,R3,Carlton,18,14,122,Collingwood,9,8,62,M.C.G.,60,2012,Regular,1.0,2012,Carlton,151.0,411.0,50.0,58.0,13.0,Collingwood,123.0,332.0,32.0,39.0,11.0,,,,,,
19,2012-04-14,R3,Richmond,20,13,133,Melbourne,11,8,74,M.C.G.,59,2012,Regular,1.0,2012,Richmond,133.0,427.0,43.0,65.0,16.0,Melbourne,119.0,268.0,25.0,30.0,14.0,,,,,,
20,2012-04-14,R3,Port Adelaide,12,11,83,Sydney,16,9,105,Football Park,-22,2012,Regular,0.0,2012,Port Adelaide,141.0,381.0,36.0,39.0,13.0,Sydney,146.0,334.0,42.0,53.0,8.0,,,,,,
21,2012-04-14,R3,Fremantle,8,16,64,Brisbane Lions,5,5,35,Subiaco,29,2012,Regular,1.0,2012,Fremantle,144.0,384.0,41.0,52.0,9.0,Brisbane Lions,129.0,299.0,38.0,20.0,5.0,,,,,,
22,2012-04-14,R3,Gold Coast,13,10,88,Essendon,15,15,105,Carrara,-17,2012,Regular,0.0,2012,Gold Coast,161.0,352.0,41.0,48.0,8.0,Essendon,176.0,368.0,36.0,56.0,12.0,,,,,,
23,2012-04-14,R3,Footscray,5,10,40,St Kilda,15,13,103,Docklands,-63,2012,Regular,0.0,2012,Footscray,137.0,352.0,33.0,50.0,6.0,St Kilda,139.0,392.0,30.0,46.0,11.0,,,,,,
24,2012-04-15,R3,GWS,10,9,69,West Coast,23,12,150,Blacktown,-81,2012,Regular,0.0,2012,GWS,134.0,377.0,39.0,45.0,12.0,West Coast,132.0,375.0,33.0,61.0,16.0,,,,,,
