team_odds,team_std
Adelaide,Adelaide
Adelaide Crows,Adelaide
Brisbane Lions,Brisbane Lions
Carlton,Carlton
Carlton Blues,Carlton
Collingwood,Collingwood
Collingwood Magpies,Collingwood
Essendon,Essendon
Essendon Bombers,Essendon
Fremantle,Fremantle
Fremantle Dockers,Fremantle
Geelong,Geelong
Geelong Cats,Geelong
Gold Coast Suns,Gold Coast
Greater Western Sydney,GWS
Greater Western Sydney Giants,GWS
GWS Giants,GWS
Hawthorn,Hawthorn
Hawthorn Hawks,Hawthorn
Melbourne Demons,Melbourne
North Melbourne,North Melbourne
North Melbourne Kangaroos,North Melbourne
Port Adelaide,Port Adelaide
Port Adelaide Magpies,Port Adelaide
Port Adelaide Power,Port Adelaide
Richmond,Richmond
Richmond Tigers,Richmond
St Kilda,St Kilda
St Kilda Saints,St Kilda
Sydney Swans,Sydney
West Coast Eagles,West Coast
Western Bulldogs,Footscray
Wetsern Bulldogs,Footscray
